Timestamp,Which of the following sentences BEST describes an architecture view?,How many years have you been developing software?,Number of OSS projects contributed to with at least one commit,How would you describe your OSS contribution?,What is your current role(s) in your organization?,What is your primary role in relation to architecture views?,"Architecture views should use an informal notation (for example boxes and arrows, icons)",Legends are not necessary in an architecture view,Architecture views should show the entire project and not just a portion of it,Architecture views should provide a high level overview of a project,Design information and runtime information are equally important to be reported in architecture views,Technologies used in a project are important in architecture views,What is the most valuable purpose(s) of an architecture view?,What is the most important concern(s) an architecture view should cover?,Which is the most important quality attribute an architecture view should cover?,For which activity of the project lifecycle do you find architecture views most useful? (5-point usefulness grid) [Architecture design],For which activity of the project lifecycle do you find architecture views most useful? (5-point usefulness grid) [Coding / implementation],For which activity of the project lifecycle do you find architecture views most useful? (5-point usefulness grid) [Maintenance / operations],"Are you using in some way any standard notation in your architecture views? If so, which ones?",How important are the following elements in your architecture views? [Architectural components (for example code classes)],How important are the following elements in your architecture views? [Connection/Interaction (for example HTTP calls)],How important are the following elements in your architecture views? [Layers (for example the front end)],How important are the following elements in your architecture views? [Technologies (for example Kubernetes)],How important are the following elements in your architecture views? [Nested Components (for example elements of a layer)],How important are the following elements in your architecture views? [Users (for example end users)],How important are the following elements in your architecture views? [Legends (for example meaning of the colors used)],"If you believe important elements were missing above, please specify them with their importance (as example, code snippets - very important)",Which tool do you use to create architecture views? (if any),"If you are using a tool, what made you pick it?",What are the biggest challenges you face when creating architecture views?,Who is the intended user of your architecture views?,To which extent is it important to have versionable architecture views (version control with change tracking)?,To which extent is it important to have collaborative environment integration for architecture view editing?,To which extent is it important to have ready to be-used architecture view templates?,To which extent is it important to directly link architecture view elements to software artifact (for example code classes)?,To which extend is it important to be able to automatically generate architecture views from the code?,Do you use any (semi-)automatic tool for architecture view creation?,"If yes, please specify which tool you use",Which of the following aspects could in your opinion be automated?,"In your opinion, how will the creation of architecture views change in the future?",Any further comments o suggestions?
12/10/2024 16:37:40,A graphical representation showing the structure of system components,4-6 years,4-10 projects,Occasional contributor,Software Developer,Neither,4,1,3,4,2,4,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Aid system documentation, Show component dependencies","General documentation, Data flow, Connection of components",Functionality,Important,Neutral,Important,,Neutral,Important,Important,Important,Important,Neutral,Very important,,NONE,,"Complex to create, Too time consuming, Insufficient architectural design skills","Myself, New potential contributors",1,3,4,1,1,No,,Architecture view creation,,
12/10/2024 16:43:49,A graphical representation showing the structure of system components,16+ years,11-20 projects,Core/maintainer team member,"Software Architect, Product Owner, DevOps Engineer",Both creating and using architecture views,4,3,3,4,4,2,"Clarify the system structure, Ease understanding complex interactions, Help in design decision-making, Show component dependencies","General documentation, Connection of components",Functionality,Very important,Important,Important,,Neutral,Important,Important,Neutral,Neutral,Important,Neutral,,"Draw.io / Diagram.net, Excalidraw","Easy to use, Free to use, Supports collaboration","Hard to mantain, Too time consuming","Myself, End users, New potential contributors, Existing contributors, Project maintainers",4,3,2,2,3,No,,"Identification of architecture components, Identification of connections / interaction between components","I haven't tried it yet, but I find that what ""System Initiative"" is proposing is very interesting.",Good luck with your research!
12/10/2024 16:46:04,A graphical representation showing the structure of system components,11-15 years,21+ projects,Core/maintainer team member,Professor,Neither,3,3,4,5,3,1,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions","Deployment, Control flow","Functionality, Performance, Interaction capability",Neutral,Neutral,Neutral,,Important,Neutral,Important,Unimportant,,Neutral,Important,,"PowerPoint / Keynote / Slides, TikZ","Easy to use, Rich of features","Perceived low value, Complex to create","Myself, New potential contributors",4,2,3,2,1,No,,Identification of architecture components,,
12/10/2024 16:49:36,A graphical representation showing the structure of system components,7-10 years,11-20 projects,Core/maintainer team member,Software Developer,Both creating and using architecture views,5,5,3,5,2,5,"Clarify the system structure, Ease understanding complex interactions, Aid system documentation, Facilitate system evolution tracking, Highlight architecture patterns, Show component dependencies",General documentation,Interaction capability,Very important,Neutral,Important,UML,Very unimportant,Neutral,Important,Neutral,Neutral,Important,Unimportant,,Draw.io / Diagram.net,"Easy to use, Already used in my development company, Versatile, Presence of templates, Free to use, Supports collaboration","Hard to mantain, Nobody uses the architecture views afterwards","End users, New potential contributors, Existing contributors",3,4,2,2,4,No,,"Hard to automate any of this perfectly and I’m going to want it to be perfect, so NONE",,
12/10/2024 16:51:58,A graphical representation showing the structure of system components,4-6 years,1-3 projects,Regular contributor,Software Developer,Both creating and using architecture views,3,2,1,5,5,2,"Clarify the system structure, Support onboarding new developers, Aid system documentation, Facilitate system evolution tracking, Visualize runtime behaviour, Show component dependencies","Control flow, Data flow, Connection of components","Functionality, Performance, Compatibility, Maintainability",Very unimportant,Unimportant,Very unimportant,,Important,Important,Neutral,Very unimportant,Important,Unimportant,Neutral,,"Draw.io / Diagram.net, PowerPoint / Keynote / Slides","Easy to use, Already used in my development company, Free to use","Complex to create, Hard to mantain","Myself, New potential contributors, Existing contributors, Project maintainers",5,2,2,4,4,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/10/2024 16:57:05,A graphical representation showing the structure of system components,11-15 years,11-20 projects,Core/maintainer team member,"Software Developer, Software Architect, Product Owner, Technical Lead, DevOps Engineer,  ""everything it takes"" ",Neither,4,4,2,4,2,2,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Help in design decision-making","General documentation, Connection of components","Interaction capability, Reliability",Very important,Neutral,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,"Draw.io / Diagram.net, Miro","Easy to use, Rich of features, Versatile, Presence of templates, Supports collaboration","Hard to mantain, Too time consuming, Nobody uses the architecture views afterwards","New potential contributors, Existing contributors, Project maintainers",2,3,4,3,4,No,,"Identification of architecture components, Architecture view creation, Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/10/2024 16:58:15,A graphical representation showing the structure of system components,7-10 years,11-20 projects,Occasional contributor,"Technical Lead, DevOps Engineer",Both creating and using architecture views,4,2,1,4,5,4,"Clarify the system structure, Assist communication among team members, Help in design decision-making, Aid system documentation","General documentation, Deployment, Control flow, Data flow","Functionality, Reliability, Security",Very important,Unimportant,Very important,IEEE 1471/ISO/IEC 42010,Neutral,Important,Important,Important,Unimportant,Neutral,Neutral,,Draw.io / Diagram.net,"Easy to use, Integration with other tools, Versatile, Free to use","Hard to mantain, Lack of existing documentation, Nobody uses the architecture views afterwards","Myself, End users, New potential contributors, Existing contributors, Project maintainers",4,3,3,3,5,Yes,mingrammer,"Identification of connections / interaction between components, Architecture view update, Architecture view validation","Like everything, I believe codification and automation in the development of these views will exist. Hopefully, to enable developers and architects to collborate more effectively using common technologies like Git (version control, collboration). ","My only recommendation is having a better definition on architecture. It's an extremely broad subject and can be viewed differently depending on your audience. For example, I am a technical architect and my scope and vision for the future may differ to a product manager who is more business orientated. "
12/10/2024 16:58:30,A graphical representation showing the structure of system components,16+ years,11-20 projects,Occasional contributor,"Software Developer, Software Architect",Both creating and using architecture views,4,3,4,4,3,2,"Clarify the system structure, Support onboarding new developers, Assist communication among team members, Aid system documentation, Show component dependencies","General documentation, Data flow","Functionality, Security, Maintainability, Safety",Very important,Important,Important,UML,Very important,Important,Important,Neutral,Neutral,Unimportant,Neutral,,"Draw.io / Diagram.net, PowerPoint / Keynote / Slides","Easy to use, Already used in my development company, Versatile, Free to use","Hard to mantain, Lack of existing documentation, Too time consuming, Nobody uses the architecture views afterwards","Myself, End users, New potential contributors, Existing contributors, Project maintainers",4,4,3,4,4,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",More automation ,
12/10/2024 16:59:51,A graphical representation showing the structure of system components,4-6 years,21+ projects,Regular contributor,Data consultant,Using architecture views,4,1,3,5,2,4,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Help in design decision-making, Highlight architecture patterns","General documentation, Deployment, Connection of components",Not sure,Very important,Important,Neutral,,Important,Very important,Important,Neutral,Neutral,Important,Very important,,PowerPoint / Keynote / Slides,,"Complex to create, Hard to mantain","Myself, New potential contributors",3,3,2,3,2,No,,"Identification of connections / interaction between components, Architecture view creation",,
12/10/2024 17:00:42,A graphical representation showing the structure of system components,4-6 years,1-3 projects,Occasional contributor,Postgraduate Researcher,Both creating and using architecture views,4,2,3,5,3,4,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Highlight architecture patterns","Control flow, Connection of components","Functionality, Maintainability",Very important,Neutral,Important,,Important,Important,Very important,Important,Neutral,Important,Important,,Visio,"Easy to use, Rich of features","Hard to mantain, Too time consuming, Insufficient architectural design skills","Myself, New potential contributors, Existing contributors",4,4,5,4,4,No,,"Identification of architecture components, Architecture view creation, Architecture view update, Architecture view validation","simple tools available for creating the architecture... then using that, we could generate a minimal code for those functionalities in order to reduce the time for coding",
12/10/2024 17:02:19,A graphical representation showing the structure of system components,16+ years,21+ projects,Regular contributor,"Software Developer, Software Architect, Technical Lead",Both creating and using architecture views,5,3,1,5,3,4,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Aid system documentation, Visualize runtime behaviour, Show component dependencies","Data flow, Connection of components",Interaction capability,Very important,Important,Very important,,Unimportant,Important,Very important,Important,Neutral,Important,Neutral,,"PowerPoint / Keynote / Slides, Lucid Chart",Already used in my development company,"Complex to create, Too time consuming","Myself, New potential contributors, Existing contributors, Project maintainers",4,4,2,2,2,No,,Identification of connections / interaction between components,,
12/10/2024 17:06:25,A graphical representation showing the structure of system components,11-15 years,1-3 projects,Regular contributor,Software Developer,Both creating and using architecture views,4,1,2,4,3,4,Clarify the system structure,Connection of components,Functionality,Very important,Important,Important,,Important,Important,Important,Important,Important,Neutral,Neutral,,"Draw.io / Diagram.net, PowerPoint / Keynote / Slides","Easy to use, Already used in my development company, Integration with other tools, Free to use","Hard to mantain, Lack of templates, Insufficient architectural design skills","Myself, New potential contributors, Existing contributors",3,4,4,2,4,Yes,pprof,"Identification of architecture components, Architecture view creation, Architecture view update, Architecture view validation",more automated,
12/10/2024 17:10:06,A graphical representation showing the structure of system components,4-6 years,11-20 projects,Regular contributor,"Software Developer, Software Architect, Product Owner, Technical Lead, DevOps Engineer",Both creating and using architecture views,4,1,5,3,2,4,"Clarify the system structure, Support onboarding new developers, Help in design decision-making, Highlight architecture patterns, Visualize runtime behaviour","Control flow, Data flow","Functionality, Reliability, Security, Maintainability, Safety",Neutral,Neutral,Neutral,"UML, TOGAF, IEEE 1471/ISO/IEC 42010",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,yedx,"Easy to use, Free to use, Supports collaboration",Complex to create,"End users, Existing contributors, Project maintainers",3,4,4,2,1,No,,"Identification of architecture components, Architecture view update, Architecture view validation",,
12/10/2024 17:11:00,A graphical representation showing the structure of system components,11-15 years,1-3 projects,Occasional contributor,"Software Architect, Technical Lead",Both creating and using architecture views,1,3,1,3,3,2,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Aid system documentation, Highlight architecture patterns, Visualize runtime behaviour, Show component dependencies","General documentation, Deployment, Control flow, Data flow, Connection of components","Functionality, Performance, Compatibility, Interaction capability, Maintainability, Flexibility",Very unimportant,Very unimportant,Very unimportant,"UML, C4",Very unimportant,Very unimportant,Very unimportant,Very unimportant,Very unimportant,Very unimportant,Very unimportant,,Draw.io / Diagram.net,"Easy to use, Rich of features, Integration with other tools, Versatile, Presence of templates, Free to use, Supports collaboration","Complex to create, Hard to mantain, Lack of tools, Lack of existing documentation","Myself, End users, New potential contributors, Existing contributors, Project maintainers",5,3,5,3,3,No,,"Identification of architecture components, Architecture view creation, Architecture view update, Architecture view validation",,
12/10/2024 17:11:11,A graphical representation showing the structure of system components,16+ years,4-10 projects,Occasional contributor,Technical Lead,Both creating and using architecture views,4,2,4,5,2,4,"Clarify the system structure, Highlight architecture patterns, Show component dependencies","Control flow, Connection of components","Functionality, Security, Maintainability",Very important,Neutral,Important,,Very unimportant,Neutral,Very important,Very important,Important,Important,Important,,"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Visio","Easy to use, Integration with other tools, Presence of templates","Hard to mantain, Too time consuming",End users,2,4,4,1,1,No,,"Identification of architecture components, Architecture view creation",,
12/10/2024 17:14:31,A graphical representation showing the structure of system components,16+ years,11-20 projects,Occasional contributor,Cloud Community Manager,Both creating and using architecture views,3,1,2,4,2,5,"Clarify the system structure, Ease understanding complex interactions",Connection of components,"Functionality, Interaction capability",Very important,Important,Neutral,,Neutral,Important,Important,Very important,Neutral,Neutral,Important,,"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Visio","Easy to use, Versatile, Free to use",Lack of templates,"End users, New potential contributors, Existing contributors",5,3,4,2,2,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",Easy to foresee a role for AI-generated architectures.,
12/10/2024 17:15:31,A graphical representation showing the structure of system components,16+ years,21+ projects,Core/maintainer team member,"Software Developer, Technical Lead",Both creating and using architecture views,3,2,4,2,1,1,"Clarify the system structure, Support onboarding new developers, Facilitate system evolution tracking, Highlight architecture patterns, Show component dependencies","Data flow, Connection of components",Interaction capability,Neutral,Important,Very important,,Unimportant,Important,Important,Very unimportant,Neutral,Unimportant,Neutral,,"Draw.io / Diagram.net, excalidraw","Versatile, Free to use, Supports collaboration",NONE really,"Myself, End users, Existing contributors",2,1,4,1,1,No,,it needs not to be automated. retrofitting is to be avoided when possible.,,
12/10/2024 17:20:40,A graphical representation showing the structure of system components,16+ years,21+ projects,Occasional contributor,Software Developer,Both creating and using architecture views,4,2,2,4,4,3,"Clarify the system structure, Ease understanding complex interactions, Show component dependencies","Control flow, Connection of components","Reliability, Maintainability",Important,Important,Important,UML,Neutral,Important,Neutral,Neutral,Important,Neutral,Important,,"AWS Architecture, PowerPoint / Keynote / Slides, Visio","Easy to use, Versatile, Supports collaboration","Perceived low value, Complex to create, Hard to mantain, Nobody uses the architecture views afterwards","Myself, Existing contributors, Project maintainers",5,4,4,4,5,Yes,chartmap,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",AI tools could generate much of the visualization helpful in understand system ,
12/10/2024 17:21:11,A graphical representation showing the structure of system components,7-10 years,4-10 projects,Occasional contributor,Quality assurance Software developer,Both creating and using architecture views,5,3,1,2,2,4,"Clarify the system structure, Show component dependencies",General documentation,"Interaction capability, Maintainability",Very important,Important,Neutral,UML,Unimportant,Very important,Important,Unimportant,Very unimportant,Very important,Important,,Visio,Versatile,"Perceived low value, Complex to create, Hard to mantain, Nobody uses the architecture views afterwards","Myself, Existing contributors",2,5,3,4,1,No,,Identification of connections / interaction between components,,
12/10/2024 17:22:37,A graphical representation showing the structure of system components,11-15 years,21+ projects,Core/maintainer team member,Software Developer,Neither,5,3,1,4,5,4,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Visualize runtime behaviour, Show component dependencies","Control flow, Data flow, Connection of components","Functionality, Security",Very important,Important,Important,,Important,Very important,Important,Neutral,Neutral,Important,Neutral,,Excalidraw,"Easy to use, Free to use","Complex to create, Hard to mantain, Too time consuming, They get out of date fast because nobody puts the extra effort to update them.","New potential contributors, Existing contributors",3,4,2,5,3,No,,I don't think a tool can do it because it often needs to include external components to your code.,It will not.,
12/10/2024 17:22:42,A graphical representation showing the structure of system components,7-10 years,1-3 projects,Regular contributor,Software Developer,Neither,3,2,2,3,2,2,"Clarify the system structure, Aid system documentation, Show component dependencies",Data flow,Functionality,Very important,Neutral,Neutral,,Important,Important,Unimportant,Neutral,Neutral,Important,Important,,"Visio, yEd","Easy to use, Already used in my development company, Free to use","Hard to mantain, Too time consuming, Nobody uses the architecture views afterwards","Myself, New potential contributors, Existing contributors, Project maintainers",5,2,3,3,3,No,,"Identification of architecture components, Architecture view creation, Architecture view update","I imagine LLM tools will be of great help in this area, I haven't personally tried to apply them here yet.",
12/10/2024 17:24:20,A graphical representation showing the structure of system components,7-10 years,21+ projects,Occasional contributor,Technical Lead,Both creating and using architecture views,4,1,3,5,3,2,"Clarify the system structure, Ease understanding complex interactions, Aid system documentation","Control flow, Data flow","Functionality, Interaction capability",Very important,Very important,Important,UML,Very important,Very important,Very important,Neutral,Important,Very important,Very important,,"Draw.io / Diagram.net, excalidraw","Easy to use, Rich of features, Already used in my development company, Integration with other tools, Presence of templates, Free to use","Complex to create, Hard to mantain","Myself, End users, New potential contributors, Existing contributors, Project maintainers",5,5,3,4,5,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view update",It would be great to see AI tools for architecture views,
12/10/2024 17:30:01,A graphical representation showing the structure of system components,11-15 years,21+ projects,Core/maintainer team member,"Technical Lead, DevOps Engineer",Both creating and using architecture views,3,2,5,5,2,5,Assist communication among team members,"General documentation, Deployment, Control flow, Data flow","Functionality, Compatibility, Interaction capability, Maintainability, Safety",Neutral,Important,Very important,"UML, C4, ArchiMate, IEEE 1471/ISO/IEC 42010",Very important,Very important,Important,Very important,Unimportant,Unimportant,Unimportant,,"Draw.io / Diagram.net, AWS Architecture, PowerPoint / Keynote / Slides","Easy to use, Versatile, Presence of templates, Free to use","Complex to create, Hard to mantain, Lack of templates, Lack of existing documentation, Too time consuming",Myself,5,4,4,4,5,No,,"Identification of architecture components, Architecture view creation, Architecture view update",,
12/10/2024 17:32:32,A graphical representation showing the structure of system components,7-10 years,4-10 projects,Occasional contributor,DevOps Engineer,Both creating and using architecture views,3,1,4,5,5,5,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Show component dependencies","General documentation, Connection of components",Functionality,Very important,Very important,Important,,Very important,Neutral,Important,Very important,Neutral,Neutral,Very important,,Cloudcraft.io,"Already used in my development company, Free to use","Complex to create, Hard to mantain, Too time consuming","End users, New potential contributors, Existing contributors, Project maintainers",5,5,4,3,2,No,,Identification of architecture components,,
12/10/2024 17:34:28,A graphical representation showing the structure of system components,11-15 years,11-20 projects,Core/maintainer team member,"Software Architect, Technical Lead",Both creating and using architecture views,5,2,5,5,5,5,"Clarify the system structure, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Facilitate system evolution tracking, Highlight architecture patterns","General documentation, Connection of components","Functionality, Compatibility, Interaction capability, Reliability, Security, Maintainability, Flexibility",Very important,Important,Very important,UML,Very important,Very important,Very important,Important,Very important,Very important,Very important,,Draw.io / Diagram.net,"Easy to use, Already used in my development company","Complex to create, Hard to mantain, Lack of templates","New potential contributors, Existing contributors, Project maintainers",5,5,5,5,5,No,,"Identification of connections / interaction between components, Architecture view creation",,
